x1,x2
11.369874,2.5529692
-2.4163277,2.0675683
5.0955024,16.965996
-1.9983177,0.8173539
4.890061,17.950201
5.1165957,16.601608
-3.0865836,0.95751244
11.684777,-16.078928
-2.8661852,3.1033504
-2.2803,1.7652358
-3.1629102,1.5127529
24.055548,11.397796
10.640839,-17.15169
-2.1000118,1.2742292
22.284771,-2.0791242
10.412177,-0.48994333
5.809851,17.29367
11.4233675,2.6539161
-3.4628563,2.7150435
10.09007,-17.134863
-3.385599,3.1425922
-2.3085444,1.7452488
-2.2943518,0.54740334
-2.8796766,2.6677785
-2.6598012,2.5014315
-3.1177547,2.5266197
5.3484793,18.204126
23.090387,13.186361
22.509382,12.837241
11.524659,-16.457241
21.910158,-1.5141302
20.515968,-0.98513913
23.055737,12.312043
23.958525,13.100654
22.134394,-1.2349303
3.8166976,17.639513
22.245602,-0.46038917
6.205899,17.165968
4.2113996,17.93346
21.071226,0.14583223
5.4344573,18.109453
10.715638,2.8946087
-2.2545488,1.5502641
22.679506,12.423107
11.475738,2.3298638
-2.6754537,2.4228058
21.56755,-0.3798851
24.02738,12.306762
-2.780633,2.791057
11.156817,1.4638228
6.043643,16.953758
-2.4426117,2.9143085
21.894773,-0.81068224
23.656755,12.700279
23.286684,12.921327
-4.2825356,3.0990548
10.539206,-17.186249
10.795771,2.8785255
-2.0905902,2.5378368
5.624079,17.273882
4.761196,-15.458148
23.739006,13.181981
-2.5702782,2.723394
10.613076,2.0749793
21.853401,13.491551
10.640114,3.4076543
20.31739,0.40905848
22.91663,13.885127
22.596869,13.162623
-2.2807183,1.2065574
10.407203,-16.05012
6.164145,16.963602
4.986998,17.608591
10.616553,-16.942049
5.4553123,17.459164
4.2953134,18.2816
-2.536114,1.8248318
4.9376683,17.480083
-3.0624697,3.0354316
-4.57971,4.161494
8.181287,-17.533318
21.457367,13.9844675
-3.5658898,3.349782
-4.127079,3.9752069
22.942076,14.087101
-4.495108,3.1399555
-3.0302067,2.2140143
11.088375,3.0745325
21.078312,0.1983092
21.44236,13.602227
3.3953905,18.880613
-5.016646,3.7878485
8.227297,-16.856743
-2.8925893,3.601795
10.279294,3.9452734
-2.7410963,3.041287
-3.5179858,2.679174
21.8665,14.092592
21.373613,-0.8572906
7.359521,-17.792599
-2.9669235,3.146618
9.714724,4.9672723
8.719026,-17.653854
10.53963,3.1720915
8.543982,-17.615564
21.764862,14.781923
8.708296,4.8357596
-4.3441477,4.35219
-4.6793337,5.044965
3.6303504,-16.174082
20.488949,15.561049
-5.5168715,5.0336523
21.594124,14.644399
10.28087,4.1169195
3.4649246,-16.322472
2.5638416,18.941734
2.83474,18.857944
10.799251,5.760673
3.3674269,18.764431
9.470203,6.2270017
19.387257,0.95712334
19.873135,15.940857
6.8243594,-17.626406
-5.715218,4.907936
-5.288448,5.3280163
16.962143,1.4167557
17.642643,1.7123625
18.53648,16.84544
18.334635,1.1150117
-6.5496063,5.6826262
1.8563572,19.239523
5.1140165,-17.500437
-5.3366547,5.254496
9.545577,6.126526
17.393608,1.4119313
3.3905404,-16.540861
6.6528835,-17.797825
16.975214,1.934591
-6.8055444,6.8694487
10.278604,7.167037
9.526949,7.637593
5.1315455,-17.380224
9.911305,6.7738104
18.21018,16.719286
9.727946,7.5402684
16.3612,2.2117484
-0.1287736,19.808653
18.27353,17.05174
-7.6923723,7.4722557
20.04354,8.871997
6.6778073,1.1206516
20.082281,9.564179
-7.0041194,-3.7142718
19.886053,7.744095
8.756718,-11.824798
18.387442,-5.3082094
20.142908,7.595578
19.705946,-6.296851
3.670812,12.977496
20.858118,-4.3063564
-7.2711015,-0.83539116
-7.810094,-2.2063797
20.775618,8.102054
-6.6348104,-0.56156296
20.525969,8.612396
18.658798,-5.0717273
-6.574775,-3.709862
5.1008945,2.0159063
6.2321014,0.90295434
-7.968108,-2.4914393
-7.636674,-1.2341865
5.8631296,-0.6085776
8.236982,-12.138952
-7.1959968,-2.2281203
-6.5886717,-1.8753303
3.1388075,13.327857
-5.647377,-1.9722499
20.964062,8.831309
-4.897981,-0.47470245
