x1,x2
-9.086913,-15.782264
11.592894,-12.526856
-9.301805,-17.0071
-3.538125,0.058616135
2.266666,11.569902
3.0535376,-12.139187
19.052944,4.702255
-8.913022,-16.388412
-2.0362902,-0.4482819
4.503077,12.553585
11.7981615,-11.878066
0.6327462,-11.487752
3.949611,13.023269
13.175348,-11.022233
3.719184,12.300141
11.8498125,-11.609897
16.933994,-0.5636985
-3.8415222,0.3836802
13.040317,-11.880811
11.7706,-11.404438
17.409117,4.7104716
12.6492405,-12.150984
20.035656,4.208033
2.4790895,11.023492
-2.96931,0.42342672
11.783156,-11.417894
16.342403,-2.4516258
16.770376,4.816533
5.3324714,12.696933
12.672774,-12.160475
10.833811,-11.902266
3.1991603,-10.798992
-3.5055077,-0.6851915
2.848646,-10.958556
16.63942,-1.3058321
-2.468604,-0.31698617
2.614745,-11.859699
16.874302,6.259665
1.1758758,-11.784912
2.5638504,-11.76726
4.025129,11.842024
3.996435,13.095005
4.779112,12.521967
1.9732027,11.047534
4.2801137,12.938263
16.656338,4.8501806
5.358172,13.1067505
-2.1791484,0.049599178
12.645513,-11.944249
2.740087,-10.751048
17.987827,-3.0808527
-2.6327736,-0.51842374
12.087388,-11.414071
-3.3300855,0.4615513
-8.909597,-16.67085
11.484716,-11.092056
17.18701,4.957888
-2.8245,-0.82481897
2.30566,11.058601
11.790535,-10.997959
2.0069394,-10.61678
-8.792879,-16.422379
18.286444,3.6694267
17.160036,-1.982193
19.142408,3.7854447
-9.422487,-17.74207
3.0851166,-10.228381
19.6806,4.5051284
19.757223,4.6944923
-3.9885213,1.1415821
16.809973,-1.5937713
-4.137576,0.9983452
2.285569,-11.301085
11.262943,-10.458223
16.242664,-2.156584
12.079776,-11.812195
-9.793917,-16.212349
-2.7814827,-0.5733426
-2.473102,0.9160636
16.420628,-0.95569557
12.53065,-10.959082
1.5529226,-11.343794
4.147421,13.930834
13.258113,-10.551061
-3.2724123,1.2909672
20.579195,4.313191
2.5677135,-10.3385105
-2.2333193,0.32978556
10.9084425,-9.718538
20.446903,4.156104
17.54885,-2.5161834
5.493922,12.29446
12.766446,-12.515055
17.416794,-2.2322147
5.0127854,11.674654
-2.8739955,-0.7394224
17.412586,-0.8811526
18.8751,-3.0085218
-2.620859,0.67142093
1.6951393,-11.657825
0.9455219,-11.411765
-2.8464832,0.46276724
-3.2787008,-0.35556737
2.3992136,-11.698253
17.871195,-1.5606029
12.987305,-11.021157
3.784537,12.733078
2.613306,-12.416319
17.894009,-1.3130902
4.05163,12.71288
-9.281224,-16.25484
18.339739,-2.9774318
20.649784,4.341524
16.92259,-2.0338707
12.964893,-11.088686
19.456944,4.758813
20.81469,4.5022235
15.475168,0.14564726
2.1287584,-10.459055
11.743194,-11.911049
3.1064355,-10.205533
4.6073103,13.082942
17.38919,-1.9158545
1.9754286,11.721909
2.4093874,-10.48807
-4.2519984,-0.27327803
19.759487,5.483086
19.023796,-3.5955005
-4.2102766,2.1019993
-3.2210891,1.0257185
-3.4849482,1.7421037
1.0142452,-10.884497
11.928212,-11.059298
-3.5129666,1.7569213
1.4978642,-11.233266
11.332232,-11.906213
-3.223345,0.16324182
4.9271173,13.908994
0.93150806,-11.608323
19.089052,5.1321883
-3.9631965,0.53395104
3.959648,13.046418
16.628523,-3.0109956
-3.382091,1.4246899
18.490002,-1.6805533
4.288459,13.629367
12.009226,-10.393686
16.670462,-1.1633145
16.442968,-1.3698187
