unit_id,pred_rul,true_rul
1.0,203.9153618812561,199.00000095367432
1.0,193.62342476844788,198.00000369548798
1.0,200.54112267494202,197.00000643730164
1.0,207.0483899116516,195.99999356269836
1.0,204.0631868839264,194.99999630451202
1.0,190.01662588119507,193.99999904632568
1.0,200.37947714328766,193.00000178813934
1.0,187.50253891944885,192.000004529953
1.0,192.6043598651886,191.00000727176666
1.0,193.40245246887207,189.9999943971634
1.0,197.48795700073242,188.99999713897705
1.0,184.95031666755676,187.9999998807907
1.0,196.29097425937653,187.00000262260437
1.0,184.22440314292908,186.00000536441803
1.0,186.58330976963043,184.99999248981476
1.0,181.77496814727783,183.99999523162842
1.0,176.84527134895325,182.99999797344208
1.0,181.89558935165405,182.00000071525574
1.0,181.81491494178772,181.0000034570694
1.0,182.27306938171387,180.00000619888306
1.0,182.99150264263153,178.99999332427979
1.0,190.79215276241302,177.99999606609344
1.0,189.47376799583435,176.9999988079071
1.0,194.79749822616577,176.00000154972076
1.0,181.0247710943222,175.00000429153442
1.0,192.4599392414093,174.00000703334808
1.0,185.34064900875092,172.9999941587448
1.0,173.80383360385895,171.99999690055847
1.0,172.9206315279007,170.99999964237213
1.0,174.9602917432785,170.0000023841858
1.0,187.56675362586975,169.00000512599945
1.0,160.38266324996948,167.99999225139618
1.0,176.06135845184326,166.99999499320984
1.0,159.46366834640503,165.9999977350235
1.0,175.44076204299927,165.00000047683716
1.0,158.50875568389893,164.00000321865082
1.0,164.4792242050171,163.00000596046448
1.0,149.86138343811035,161.9999930858612
1.0,144.2011194229126,160.99999582767487
1.0,131.26429224014282,159.99999856948853
1.0,123.51191246509552,159.00000131130219
1.0,112.44401901960373,158.00000405311584
1.0,126.87962400913239,157.0000067949295
1.0,119.41219699382782,155.99999392032623
1.0,109.46549981832504,154.9999966621399
1.0,94.25160384178162,153.99999940395355
1.0,95.12656825780869,153.0000021457672
1.0,96.93026441335678,152.00000488758087
1.0,95.89427131414413,151.00000762939453
1.0,100.15671765804291,149.99999475479126
1.0,99.56240367889404,148.99999749660492
1.0,105.34885615110397,148.00000023841858
1.0,108.79463416337967,147.00000298023224
1.0,110.66816693544388,146.0000057220459
1.0,102.42528331279755,144.99999284744263
1.0,92.61078691482544,143.9999955892563
1.0,101.02292907238007,142.99999833106995
1.0,94.77348107099533,142.0000010728836
1.0,92.88747078180313,141.00000381469727
1.0,92.7631094455719,140.00000655651093
